room_id,room_number,room_type,department_id,capacity,daily_rate
1,3B001,General Ward,5,2,215.67
2,3C002,General Ward,11,4,124.24
3,5D003,General Ward,8,3,205.85
4,5E004,Private,1,1,504.83
5,6F005,Semi-Private,9,2,475.98
6,1G006,Maternity,9,4,733.84
7,5H007,General Ward,8,4,122.21
8,1I008,Maternity,9,2,523.3
9,3J009,Maternity,9,2,484.03
10,6K010,General Ward,3,2,115.42
11,7L011,Private,3,1,779.94
12,7M012,Icu,7,1,2312.75
13,6N013,General Ward,11,4,123.18
14,2O014,Private,4,1,932.3
15,7P015,Isolation,7,1,1267.54
16,4Q016,Private,8,1,512.39
17,3R017,Semi-Private,6,4,445.6
18,7S018,Semi-Private,8,3,417.48
19,7T019,Semi-Private,11,4,312.04
20,2A020,Icu,7,1,3074.75
21,1B021,Isolation,7,1,967.78
22,7C022,Semi-Private,6,2,367.67
23,7D023,General Ward,7,2,237.77
24,3E024,Semi-Private,5,3,455.13
25,2F025,Semi-Private,5,2,255.92
26,4G026,General Ward,7,2,149.24
27,7H027,Semi-Private,1,2,319.78
28,6I028,Private,3,1,754.7
29,7J029,General Ward,7,4,180.43
30,1K030,Semi-Private,6,2,469.26
31,3L031,Private,4,1,589.28
32,1M032,Semi-Private,8,3,277.1
33,3N033,General Ward,8,3,209.28
34,4O034,Semi-Private,2,3,401.55
35,5P035,Private,10,1,557.82
36,2Q036,Semi-Private,6,4,313.68
37,4R037,General Ward,8,4,100.25
38,7S038,Icu,7,1,2576.9
39,6T039,General Ward,12,4,210.56
40,3A040,Semi-Private,9,2,357.82
41,3B041,General Ward,8,4,193.47
42,7C042,Maternity,9,4,449.85
43,3D043,Private,2,1,753.56
44,4E044,Semi-Private,3,4,331.55
45,3F045,Semi-Private,8,4,388.6
46,2G046,Icu,6,1,2340.89
47,6H047,Maternity,9,3,699.25
48,2I048,Private,2,1,807.76
49,4J049,General Ward,7,3,182.19
50,3K050,Semi-Private,5,2,321.73
51,4L051,Private,6,1,892.88
52,6M052,General Ward,7,4,148.34
53,4N053,Private,6,1,721.08
54,2O054,Isolation,7,1,1057.82
55,7P055,Private,6,1,950.59
56,2Q056,General Ward,5,4,198.83
57,5R057,Maternity,9,3,665.54
58,3S058,Semi-Private,1,4,273.35
59,7T059,Isolation,7,1,864.41
60,2A060,General Ward,7,3,220.98
61,1B061,Semi-Private,8,2,261.55
62,5C062,General Ward,7,3,227.46
63,4D063,Maternity,9,2,565.78
64,5E064,General Ward,12,4,129.17
65,6F065,Private,5,1,691.99
66,2G066,General Ward,3,3,122.14
67,6H067,Private,6,1,502.77
68,7I068,Semi-Private,4,2,356.29
69,2J069,Icu,7,1,3108.22
70,5K070,General Ward,11,4,169.68
71,5L071,Private,2,1,624.6
72,4M072,Semi-Private,2,2,283.33
73,4N073,Private,4,1,833.79
74,5O074,General Ward,8,4,147.59
75,7P075,Icu,7,1,3282.85
76,5Q076,Icu,2,1,3130.01
77,4R077,General Ward,11,4,224.59
78,4S078,Maternity,9,4,758.88
79,7T079,Semi-Private,1,4,368.67
80,7A080,General Ward,8,3,137.09
81,3B081,Maternity,9,4,706.33
82,4C082,General Ward,5,4,194.01
83,3D083,Private,1,1,719.94
84,6E084,Private,1,1,642.86
85,3F085,Semi-Private,2,3,329.93
86,1G086,General Ward,10,4,120.76
87,4H087,General Ward,11,2,204.09
88,6I088,Private,2,1,606.98
89,4J089,Private,3,1,703.8
90,4K090,Semi-Private,2,4,353.94
91,7L091,Semi-Private,3,2,355.04
92,6M092,General Ward,10,4,102.93
93,4N093,Semi-Private,4,4,369.24
94,3O094,Private,4,1,649.31
95,7P095,General Ward,3,3,233.75
96,5Q096,General Ward,7,3,212.13
97,7R097,General Ward,5,4,190.49
98,2S098,Private,8,1,744.11
99,4T099,Semi-Private,3,3,371.41
100,3A100,Maternity,9,3,667.55
101,6B101,General Ward,7,3,124.76
102,2C102,Semi-Private,2,3,495.18
103,5D103,Private,5,1,513.48
104,5E104,Semi-Private,10,3,391.1
105,1F105,Private,11,1,541.97
106,2G106,Semi-Private,6,3,466.71
107,1H107,Semi-Private,6,2,315.04
108,2I108,General Ward,11,3,168.2
109,7J109,General Ward,7,3,231.95
110,7K110,Semi-Private,1,3,487.8
111,3L111,General Ward,11,3,225.24
112,1M112,Semi-Private,3,3,437.26
113,1N113,Icu,7,1,3499.82
114,3O114,Icu,2,1,1948.44
115,1P115,Private,1,1,890.62
116,6Q116,Private,4,1,520.13
117,1R117,Private,9,1,974.81
118,7S118,Semi-Private,4,2,255.1
119,2T119,Semi-Private,3,2,281.56
120,1A120,Semi-Private,3,4,390.99
121,2B121,Icu,7,1,2430.07
122,7C122,Semi-Private,12,3,342.22
123,5D123,Semi-Private,6,4,490.93
124,1E124,General Ward,7,4,216.67
125,3F125,General Ward,10,2,116.21
126,3G126,General Ward,7,2,186.37
127,4H127,General Ward,3,3,241.22
128,1I128,Semi-Private,4,2,398.02
129,2J129,Semi-Private,4,4,275.48
130,7K130,General Ward,5,3,202.64
131,7L131,Semi-Private,6,2,495.96
132,3M132,Semi-Private,9,2,383.19
133,3N133,General Ward,5,4,110.34
134,3O134,Semi-Private,6,4,253.16
135,4P135,Isolation,7,1,1275.63
136,4Q136,General Ward,5,2,244.12
137,7R137,Maternity,9,4,583.9
138,2S138,Icu,7,1,2370.97
139,6T139,Isolation,4,1,1065.22
140,3A140,General Ward,8,4,192.39
141,5B141,Isolation,7,1,1242.25
142,4C142,Icu,7,1,2371.15
143,6D143,Private,6,1,796.24
144,7E144,Semi-Private,6,3,311.37
